instance,solver,run,nvertices,nedges,n,m,state,value,totalTime,totalIters,bestTime,bestIter
r_n100_p0.75_nA20_nB10_i0,heur_semigreedy2s_v2_a0.3,0,100,3729,20,10,FEASIBLE,7,1.74486,10000,0.399509,2199
r_n150_p0.5_nA15_nB30_i1,heur_semigreedy2s_v2_a0.3,0,150,5608,15,30,FEASIBLE,3,19.463,15000,0.0220728,14
r_n100_p0.75_nA10_nB10_i2,heur_semigreedy2s_v2_a0.3,0,100,3709,10,10,FEASIBLE,3,3.06842,10000,0.00745636,16
r_n150_p0.5_nA30_nB30_i2,heur_semigreedy2s_v2_a0.3,0,150,5621,30,30,FEASIBLE,6,19.399,15000,0.0350563,26
r_n150_p0.5_nA30_nB15_i2,heur_semigreedy2s_v2_a0.3,0,150,5583,30,15,FEASIBLE,6,19.2241,15000,8.9301,5889
r_n150_p0.75_nA30_nB30_i1,heur_semigreedy2s_v2_a0.3,0,150,8343,30,30,FEASIBLE,9,31.8161,15000,0.0260352,13
r_n150_p0.5_nA15_nB15_i1,heur_semigreedy2s_v2_a0.3,0,150,5585,15,15,FEASIBLE,3,13.9529,15000,0.0741327,76
r_n150_p0.75_nA15_nB30_i0,heur_semigreedy2s_v2_a0.3,0,150,8401,15,30,FEASIBLE,4,16.8265,15000,0.054716,41
r_n150_p0.25_nA30_nB15_i2,heur_semigreedy2s_v2_a0.3,0,150,2801,30,15,FEASIBLE,3,8.93181,15000,8.43438,14152
r_n100_p0.75_nA10_nB20_i0,heur_semigreedy2s_v2_a0.3,0,100,3749,10,20,FEASIBLE,3,3.97098,10000,0.0113125,19
r_n150_p0.75_nA30_nB15_i0,heur_semigreedy2s_v2_a0.3,0,150,8469,30,15,FEASIBLE,15,3.89138,15000,0.118011,425
r_n100_p0.5_nA10_nB10_i0,heur_semigreedy2s_v2_a0.3,0,100,2514,10,10,FEASIBLE,2,2.77609,10000,0.00627952,15
r_n100_p0.25_nA10_nB10_i1,heur_semigreedy2s_v2_a0.3,0,100,1244,10,10,FEASIBLE,1,1.93551,10000,0.0521068,243
r_n100_p0.25_nA10_nB20_i2,heur_semigreedy2s_v2_a0.3,0,100,1239,10,20,FEASIBLE,1,2.08012,10000,0.389895,1789
r_n100_p0.5_nA20_nB10_i0,heur_semigreedy2s_v2_a0.3,0,100,2477,20,10,FEASIBLE,5,2.62306,10000,0.0103858,38
r_n150_p0.25_nA30_nB30_i2,heur_semigreedy2s_v2_a0.3,0,150,2831,30,30,FEASIBLE,3,12.7537,15000,6.1189,7312
r_n100_p0.5_nA10_nB20_i1,heur_semigreedy2s_v2_a0.3,0,100,2527,10,20,FEASIBLE,2,3.57425,10000,0.00305811,3
r_n100_p0.5_nA20_nB20_i2,heur_semigreedy2s_v2_a0.3,0,100,2512,20,20,FEASIBLE,4,4.20924,10000,0.0582167,117
r_n150_p0.5_nA30_nB30_i1,heur_semigreedy2s_v2_a0.3,0,150,5527,30,30,FEASIBLE,6,23.8933,15000,0.529197,309
r_n100_p0.25_nA20_nB10_i2,heur_semigreedy2s_v2_a0.3,0,100,1220,20,10,FEASIBLE,3,2.35328,10000,0.000799395,1
r_n100_p0.75_nA10_nB10_i1,heur_semigreedy2s_v2_a0.3,0,100,3700,10,10,FEASIBLE,3,3.02469,10000,0.00347423,8
r_n100_p0.25_nA20_nB10_i1,heur_semigreedy2s_v2_a0.3,0,100,1211,20,10,FEASIBLE,2,2.42764,10000,1.19976,5072
r_n100_p0.5_nA10_nB20_i2,heur_semigreedy2s_v2_a0.3,0,100,2502,10,20,FEASIBLE,2,3.53018,10000,0.00727411,18
r_n150_p0.25_nA15_nB15_i0,heur_semigreedy2s_v2_a0.3,0,150,2838,15,15,FEASIBLE,2,7.11884,15000,0.00259151,4
r_n150_p0.75_nA30_nB15_i2,heur_semigreedy2s_v2_a0.3,0,150,8302,30,15,FEASIBLE,11,10.7514,15000,2.00936,2692
r_n100_p0.75_nA20_nB10_i1,heur_semigreedy2s_v2_a0.3,0,100,3688,20,10,FEASIBLE,7,2.94253,10000,0.0792596,218
r_n100_p0.5_nA10_nB10_i2,heur_semigreedy2s_v2_a0.3,0,100,2530,10,10,FEASIBLE,3,2.69554,10000,0.000417383,0
r_n100_p0.5_nA20_nB20_i0,heur_semigreedy2s_v2_a0.3,0,100,2427,20,20,FEASIBLE,4,4.23906,10000,0.0101521,16
r_n100_p0.75_nA20_nB20_i1,heur_semigreedy2s_v2_a0.3,0,100,3719,20,20,FEASIBLE,6,5.00591,10000,0.32763,636
r_n150_p0.5_nA30_nB30_i0,heur_semigreedy2s_v2_a0.3,0,150,5622,30,30,FEASIBLE,6,22.6097,15000,0.0339615,24
r_n150_p0.25_nA30_nB15_i0,heur_semigreedy2s_v2_a0.3,0,150,2744,30,15,FEASIBLE,4,8.63263,15000,0.0294882,41
r_n100_p0.5_nA20_nB10_i1,heur_semigreedy2s_v2_a0.3,0,100,2493,20,10,FEASIBLE,5,3.21024,10000,0.0154214,43
r_n100_p0.25_nA20_nB10_i0,heur_semigreedy2s_v2_a0.3,0,100,1254,20,10,FEASIBLE,3,2.19522,10000,0.00141833,4
r_n150_p0.5_nA30_nB15_i1,heur_semigreedy2s_v2_a0.3,0,150,5532,30,15,FEASIBLE,7,15.9828,15000,0.253657,249
r_n100_p0.75_nA10_nB20_i1,heur_semigreedy2s_v2_a0.3,0,100,3752,10,20,FEASIBLE,3,4.4184,10000,0.0194836,40
r_n150_p0.25_nA30_nB30_i0,heur_semigreedy2s_v2_a0.3,0,150,2776,30,30,FEASIBLE,4,13.1507,15000,0.00116304,0
r_n100_p0.5_nA20_nB20_i1,heur_semigreedy2s_v2_a0.3,0,100,2488,20,20,FEASIBLE,4,4.37613,10000,0.00874313,14
r_n100_p0.25_nA20_nB20_i0,heur_semigreedy2s_v2_a0.2,0,100,1186,20,20,FEASIBLE,3,2.72343,10000,0.000729794,1
r_n150_p0.75_nA15_nB15_i2,heur_semigreedy2s_v2_a0.2,0,150,8450,15,15,FEASIBLE,4,12.2243,15000,0.768409,952
r_n150_p0.25_nA15_nB15_i2,heur_semigreedy2s_v2_a0.2,0,150,2737,15,15,FEASIBLE,2,6.88343,15000,0.00412829,6
r_n150_p0.75_nA15_nB30_i1,heur_semigreedy2s_v2_a0.2,0,150,8396,15,30,FEASIBLE,4,16.963,15000,1.40876,1285
r_n150_p0.5_nA15_nB30_i2,heur_semigreedy2s_v2_a0.2,0,150,5571,15,30,FEASIBLE,3,20.269,15000,0.0238954,14
r_n150_p0.75_nA15_nB15_i1,heur_semigreedy2s_v2_a0.2,0,150,8391,15,15,FEASIBLE,4,12.428,15000,0.886031,1104
r_n100_p0.75_nA10_nB20_i2,heur_semigreedy2s_v2_a0.2,0,100,3726,10,20,FEASIBLE,3,4.24974,10000,0.16944,378
r_n100_p0.5_nA20_nB10_i2,heur_semigreedy2s_v2_a0.2,0,100,2426,20,10,FEASIBLE,4,3.15625,10000,0.0298669,96
r_n150_p0.75_nA15_nB15_i0,heur_semigreedy2s_v2_a0.2,0,150,8339,15,15,FEASIBLE,4,14.5918,15000,1.58579,1726
r_n100_p0.75_nA20_nB10_i2,heur_semigreedy2s_v2_a0.2,0,100,3690,20,10,FEASIBLE,8,1.92847,10000,0.00329004,14
