instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,ninfeas,ninfeasPrepro,ninfeasCheck,ninfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ntrivialNodes,nintNodes,nfracNodes,ngcpNodes,rootlb,rootub,rootHeurTime,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n110_p0.25_nA22_nB22_i4,byp_,0,110,1465,22,22,-1,-1,OPTIMAL,optimality proven,98.0777,1,0,2.0,2.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,1.54396,11.0,2.71736e-319,0.0,9962,0,9900,39,0,23,332,0,284,26,0,22,86.9397,4.972e-06,0.581467,0.836426,0.0,85.5218,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n120_p0.5_nA24_nB24_i0,byp_,0,120,3523,24,24,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,2,0,-1.79769e+308,5.0,1.79769e+306,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,3.05313,23.0,2.8656e-319,0.0,6138,0,6100,26,0,12,267,0,236,20,0,11,29.0787,4.623e-06,0.384946,0.182619,0.0,28.5111,5e-324,0,0.0,1670571,1167020,493700,4927,0,4924,5001,41,32,4,0,4924,7147.05,0.278089,29.3804,41.3363,0.0,7076.05
r_n130_p0.75_nA26_nB13_i4,byp_,0,130,6327,26,13,-1,-1,OPTIMAL,optimality proven,272.969,15,0,9.0,9.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,1,14,0,7.47477,28.0,3.1126e-319,0.0,7793,0,7700,35,35,23,275,0,240,13,0,22,42.4115,7.411e-06,0.600416,0.0197864,0.156667,41.6346,5e-324,0,0.0,3702,1973,1692,12,12,10,57,29,15,2,0,9,14.4372,0.000203464,0.126899,0.00482168,0.0924328,14.2129
r_n130_p0.75_nA26_nB26_i1,byp_,0,130,6245,26,26,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,16,7,5.6939,7.0,0.186585,0.0,0,0,0,0.0,1,1,0,0,0,0,0,15,0,5.47492,74.0,3.21143e-319,0.0,4535,0,4500,15,15,5,222,0,199,19,0,4,23.6965,2.579e-06,0.359908,0.10488,0.143812,23.0879,5e-324,0,0.0,35344,13436,21286,208,208,204,256,30,16,5,0,203,473.43,0.00435705,2.15091,2.61381,0.295732,468.365
r_n130_p0.75_nA26_nB26_i3,byp_,0,130,6255,26,26,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,67,33,5.65609,7.0,0.191986,0.0,0,0,0,0.0,1,1,0,0,0,0,0,66,0,5.18644,80.0,3.21143e-319,0.0,4225,0,4200,10,12,3,229,0,214,11,2,2,15.0669,2.452e-06,0.324316,0.064876,0.140945,14.5368,5e-324,0,0.0,7379,2855,4410,39,39,34,87,27,18,6,0,34,107.633,0.000425345,0.317312,0.401999,0.109835,106.804
r_n130_p0.75_nA13_nB26_i4,byp_,0,130,6328,13,26,-1,-1,OPTIMAL,optimality proven,79.1006,1,0,3.0,3.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,2.6,78.0,3.21143e-319,0.0,1303,0,1300,0,3,0,99,0,97,0,2,0,0.143135,7.44e-07,0.105348,0.0,0.0377864,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n120_p0.5_nA24_nB24_i2,byp_,0,120,3533,24,24,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,12,5,3.1016,5.0,0.379681,0.0,0,0,0,0.0,1,1,0,0,0,0,0,11,0,2.98919,24.0,2.9644e-319,0.0,6336,0,6300,29,0,7,247,0,206,35,0,6,26.3825,5.47e-06,0.401052,0.190038,0.0,25.7914,5e-324,0,0.0,72376,37180,34527,338,0,330,398,35,23,10,0,329,649.825,0.019287,2.48117,2.75253,0.0,644.572
r_n130_p0.75_nA13_nB13_i0,byp_,0,130,6266,13,13,-1,-1,OPTIMAL,optimality proven,70.5918,1,0,3.0,3.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,2.35366,57.0,3.21143e-319,0.0,2917,0,2900,5,8,4,137,0,130,1,3,3,12.8077,1.817e-06,0.214299,0.0562029,0.101676,12.4355,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.25_nA22_nB22_i3,byp_,0,110,1518,22,22,-1,-1,OPTIMAL,optimality proven,19.1732,19,0,2.0,2.0,0.0,0.0,0,0,0,0.0,2,1,1,0,0,0,1,18,0,2.0,11.0,2.66795e-319,0.0,1202,0,1200,1,0,1,110,0,110,0,0,0,0.0809713,6.79e-07,0.069624,4.0238e-05,0.0,0.0113064,5e-324,0,0.0,1539,874,661,2,0,1,65,30,34,0,0,0,0.426893,0.000249091,0.0325025,0.00476401,0.0,0.389377
r_n120_p0.5_nA24_nB12_i2,byp_,0,120,3538,24,12,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,19,9,3.59593,5.0,0.280814,0.0,0,0,0,0.0,1,1,0,0,0,0,0,18,0,3.2768,19.0,2.9644e-319,0.0,9886,0,9800,45,0,41,321,0,277,4,0,40,123.059,7.466e-06,0.693471,0.0961508,0.0,122.27,5e-324,0,0.0,27668,12298,15083,143,0,143,204,35,26,0,0,142,392.042,0.00206118,1.13261,0.367292,0.0,390.54
