instance,solver,run,nvertices,nedges,n,m,nvars,ncons,state,time,nodes,nodesLeft,lb,ub,gap,ninfeas,ninfeasPrepro,ninfeasCheck,ninfeasAux,nint,ngcp,gcpTime,nsol,nsolHeur,nsolLR,ntrivial,rootlb,rootub,rootHeurTime,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n130_p0.25_nA26_nB13_i1,byp_p4,0,130,2181,26,13,-1,-1,FEASIBLE,246.795,1,1,1.89831,3.0,0.367229,0.0,0,0,0,0,0,0.0,1,1,0,0,1.89831,3.0,20.9724,0.0,74123,0,74000,41,41,41,5282,0,5242,0,0,40,225.563,0.0,6.64762,0.254157,1.9672,216.694,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA34_nB17_i2,byp_p4,0,170,10813,34,17,-1,-1,FEASIBLE,352.118,1,1,9.50221,11.0,0.136163,0.0,0,0,0,0,0,0.0,1,1,0,0,9.50221,11.0,43.3643,0.0,121154,0,121000,72,41,41,10826,0,10754,32,0,40,308.334,0.0,19.6973,0.108842,0.550986,287.976,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA34_nB17_i0,byp_p4,0,170,10814,34,17,-1,-1,FEASIBLE,415.416,1,1,8.65907,11.0,0.212812,0.0,0,0,0,0,0,0.0,1,1,0,0,8.65907,11.0,48.4976,0.0,81099,0,81000,37,31,31,10130,0,10093,7,0,30,366.633,0.0,13.8479,0.20705,0.535104,352.043,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA17_nB34_i4,byp_p4,0,170,10756,17,34,-1,-1,OPTIMAL,114.015,1,0,3.0,3.0,0.0,0.0,0,0,0,1,0,0.0,2,1,1,0,3.0,5.0,69.5828,0.0,11010,0,11000,4,3,3,3084,0,3081,1,0,2,44.3983,0.0,1.87255,0.0254771,0.129329,42.371,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA15_nB30_i4,byp_p4,0,150,5679,15,30,-1,-1,FEASIBLE,120.331,1,1,1.7037,3.0,0.432099,0.0,0,0,0,0,0,0.0,1,1,0,0,1.7037,3.0,33.2602,0.0,15012,0,15000,4,4,4,2315,0,2312,0,0,3,87.0411,0.0,2.09368,0.0133763,0.158183,84.7758,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.25_nA26_nB26_i0,byp_p4,0,130,2038,26,26,-1,-1,FEASIBLE,450.498,1,1,1.69353,3.0,0.435492,0.0,0,0,0,0,0,0.0,1,1,0,0,1.69353,3.0,22.3631,0.0,70080,0,70000,28,26,26,3747,0,3719,3,0,25,427.925,0.0,6.75252,0.0724275,4.7091,416.391,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA30_nB30_i0,byp_p4,0,150,5548,30,30,-1,-1,FEASIBLE,756.998,1,1,3.50245,6.0,0.416259,0.0,0,0,0,0,0,0.0,1,1,0,0,3.50245,6.0,66.4637,0.0,40056,0,40000,20,18,18,5045,0,5026,2,0,17,690.386,0.0,5.31346,0.0764587,0.55318,684.443,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.25_nA26_nB13_i3,byp_p4,0,130,2074,26,13,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,3.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,1.79095,3.0,19.9975,0.0,76122,0,76000,42,40,40,4396,0,4354,2,0,40,898.996,0.0,6.9374,1.07616,7.21108,883.771,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.25_nA26_nB26_i2,byp_p4,0,130,2100,26,26,-1,-1,FEASIBLE,357.348,1,1,1.78777,3.0,0.404076,0.0,0,0,0,0,0,0.0,1,1,0,0,1.78777,3.0,23.227,0.0,72066,0,72000,23,22,21,3640,0,3618,1,1,20,333.916,0.0,6.71213,0.0559427,3.02481,324.123,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA15_nB15_i4,byp_p4,0,150,5682,15,15,-1,-1,FEASIBLE,353.834,1,1,1.72692,3.0,0.42436,0.0,0,0,0,0,0,0.0,1,1,0,0,1.72692,3.0,29.4972,0.0,26042,0,26000,14,14,14,2463,0,2450,0,0,13,324.291,0.0,3.47901,0.0526275,0.565556,320.194,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
