instance,solver,run,nvertices,nedges,n,m,nvars,ncons,state,time,nodes,nodesLeft,lb,ub,gap,ninfeas,ninfeasPrepro,ninfeasCheck,ninfeasAux,nint,ngcp,gcpTime,nsol,nsolHeur,nsolLR,ntrivial,rootlb,rootub,rootHeurTime,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n150_p0.5_nA30_nB30_i4,byp_a0.1,0,150,5637,30,30,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,6.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,3.56171,6.0,69.1367,0.0,335,0,255,0,0,80,255,0,175,0,0,80,861.606,0.0,0.0786015,0.0,0.0,861.528,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA34_nB34_i2,byp_a0.1,0,170,10798,34,34,-1,-1,FEASIBLE,879.126,1,1,6.78895,9.0,0.245673,0.0,0,0,0,0,0,0.0,1,1,0,0,6.78895,9.0,133.376,0.0,296,0,217,0,0,79,216,0,138,0,0,78,745.619,0.0,0.0806787,0.0,0.0,745.538,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA15_nB30_i1,byp_a0.1,0,150,5541,15,30,-1,-1,OPTIMAL,216.436,1,0,2.0,2.0,0.0,0.0,0,0,0,0,0,0.0,1,1,0,0,1.69245,2.0,34.0212,0.0,133,0,92,0,0,41,91,0,51,0,0,40,182.383,0.0,0.0221971,0.0,0.0,182.36,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.25_nA26_nB26_i4,byp_a0.1,0,130,2121,26,26,-1,-1,FEASIBLE,465.99,1,1,1.81311,3.0,0.395629,0.0,0,0,0,0,0,0.0,1,1,0,0,1.81311,3.0,22.9433,0.0,381,0,280,0,0,101,279,0,179,0,0,100,442.935,0.0,0.0385152,0.0,0.0,442.897,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA34_nB17_i4,byp_a0.1,0,170,10756,34,17,-1,-1,FEASIBLE,476.648,1,1,9.20513,12.0,0.232906,0.0,0,0,0,0,0,0.0,1,1,0,0,9.20513,12.0,48.773,0.0,410,0,293,0,0,117,292,0,176,0,0,116,427.75,0.0,0.106254,0.0,0.0,427.644,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA30_nB30_i2,byp_a0.1,0,150,5522,30,30,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,6.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,3.41277,6.0,67.1279,0.0,355,0,268,0,0,87,268,0,181,0,0,87,835.686,0.0,0.0616505,0.0,0.0,835.625,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.25_nA26_nB26_i3,byp_a0.1,0,130,2070,26,26,-1,-1,FEASIBLE,756.885,1,1,1.70437,3.0,0.431875,0.0,0,0,0,0,0,0.0,1,1,0,0,1.70437,3.0,23.172,0.0,348,0,245,0,0,103,244,0,142,0,0,102,733.615,0.0,0.034367,0.0,0.0,733.581,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA34_nB34_i1,byp_a0.1,0,170,10786,34,34,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,10.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,6.602,10.0,135.945,0.0,308,0,231,0,0,77,231,0,154,0,0,77,776.123,0.0,0.0911279,0.0,0.0,776.032,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA15_nB15_i0,byp_a0.1,0,150,5548,15,15,-1,-1,FEASIBLE,600.158,1,1,1.64516,3.0,0.451613,0.0,0,0,0,0,0,0.0,1,1,0,0,1.64516,3.0,29.038,0.0,154,0,103,0,0,51,102,0,52,0,0,50,571.085,0.0,0.0255733,0.0,0.0,571.059,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n170_p0.75_nA17_nB34_i0,byp_a0.1,0,170,10814,17,34,-1,-1,FEASIBLE,900.0,1,0,-1.79769e+308,5.0,1.79769e+306,0.0,0,0,0,0,0,0.0,1,1,0,0,3.02332,5.0,71.2494,0.0,245,0,151,0,0,94,151,0,57,0,0,94,839.104,0.0,0.0765953,0.0,0.0,839.028,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
