instance,solver,run,nvertices,nedges,n,m,state,value,totalTime,totalIters,bestTime,bestIter
r_n170_p0.75_nA17_nB34_i1,heur_semigreedy2s_v2_a0.35,0,170,10781,17,34,FEASIBLE,4,24.0339,17000,3.81583,2796
r_n170_p0.75_nA17_nB17_i1,heur_semigreedy2s_v2_a0.35,0,170,10787,17,17,FEASIBLE,5,17.7356,17000,0.378629,364
r_n130_p0.25_nA26_nB26_i1,heur_semigreedy2s_v2_a0.35,0,130,2071,26,26,FEASIBLE,3,6.0551,13000,0.080036,166
r_n150_p0.5_nA15_nB30_i2,heur_semigreedy2s_v2_a0.35,0,150,5529,15,30,FEASIBLE,3,12.5513,15000,0.00983624,7
r_n150_p0.5_nA15_nB15_i4,heur_semigreedy2s_v2_a0.35,0,150,5682,15,15,FEASIBLE,3,10.1361,15000,0.0245326,24
r_n170_p0.75_nA17_nB17_i0,heur_semigreedy2s_v2_a0.35,0,170,10814,17,17,FEASIBLE,5,18.0705,17000,0.361275,348
r_n170_p0.75_nA34_nB34_i2,heur_semigreedy2s_v2_a0.35,0,170,10798,34,34,FEASIBLE,9,30.4335,17000,13.7376,7641
r_n150_p0.5_nA30_nB15_i0,heur_semigreedy2s_v2_a0.35,0,150,5548,30,15,FEASIBLE,6,12.2687,15000,7.64813,9422
r_n170_p0.75_nA34_nB34_i3,heur_semigreedy2s_v2_a0.35,0,170,10760,34,34,FEASIBLE,9,31.8292,17000,1.334,729
r_n170_p0.75_nA17_nB17_i3,heur_semigreedy2s_v2_a0.35,0,170,10751,17,17,FEASIBLE,5,17.8491,17000,0.120727,110
r_n130_p0.25_nA26_nB13_i2,heur_semigreedy2s_v2_a0.35,0,130,2097,26,13,FEASIBLE,4,5.20769,13000,0.00186661,2
r_n150_p0.5_nA15_nB15_i0,heur_semigreedy2s_v2_a0.35,0,150,5548,15,15,FEASIBLE,3,10.527,15000,0.00819686,6
r_n150_p0.5_nA15_nB30_i0,heur_semigreedy2s_v2_a0.35,0,150,5548,15,30,FEASIBLE,3,12.6912,15000,0.0149499,15
r_n150_p0.5_nA30_nB15_i4,heur_semigreedy2s_v2_a0.35,0,150,5636,30,15,FEASIBLE,7,11.9322,15000,0.0682839,76
r_n170_p0.75_nA34_nB34_i4,heur_semigreedy2s_v2_a0.35,0,170,10757,34,34,FEASIBLE,9,32.9683,17000,5.69595,2922
r_n170_p0.75_nA34_nB17_i0,heur_semigreedy2s_v2_a0.35,0,170,10814,34,17,FEASIBLE,11,11.3206,17000,9.01789,13532
r_n150_p0.5_nA15_nB30_i4,heur_semigreedy2s_v2_a0.35,0,150,5679,15,30,FEASIBLE,3,12.6815,15000,0.02695,23
r_n170_p0.75_nA17_nB34_i0,heur_semigreedy2s_v2_a0.35,0,170,10814,17,34,FEASIBLE,5,23.986,17000,0.0168621,8
r_n170_p0.75_nA34_nB34_i1,heur_semigreedy2s_v2_a0.35,0,170,10786,34,34,FEASIBLE,9,31.5284,17000,12.3662,6653
r_n150_p0.5_nA15_nB15_i2,heur_semigreedy2s_v2_a0.35,0,150,5568,15,15,FEASIBLE,3,10.029,15000,0.0368683,42
r_n170_p0.75_nA17_nB34_i4,heur_semigreedy2s_v2_a0.35,0,170,10756,17,34,FEASIBLE,5,23.5326,17000,0.126159,88
r_n170_p0.75_nA34_nB34_i0,heur_semigreedy2s_v2_a0.35,0,170,10814,34,34,FEASIBLE,10,32.8385,17000,0.429053,227
r_n170_p0.75_nA17_nB17_i2,heur_semigreedy2s_v2_a0.35,0,170,10804,17,17,FEASIBLE,5,17.5724,17000,0.204076,197
r_n150_p0.5_nA15_nB30_i1,heur_semigreedy2s_v2_a0.35,0,150,5541,15,30,FEASIBLE,3,12.8589,15000,0.118869,132
r_n150_p0.5_nA30_nB30_i2,heur_semigreedy2s_v2_a0.35,0,150,5522,30,30,FEASIBLE,5,17.1973,15000,10.0421,8762
r_n150_p0.5_nA30_nB15_i2,heur_semigreedy2s_v2_a0.35,0,150,5525,30,15,FEASIBLE,6,12.2107,15000,0.263936,322
r_n170_p0.75_nA34_nB17_i3,heur_semigreedy2s_v2_a0.35,0,170,10775,34,17,FEASIBLE,11,13.8325,17000,0.0315832,32
r_n130_p0.25_nA26_nB26_i0,heur_semigreedy2s_v2_a0.35,0,130,2038,26,26,FEASIBLE,3,6.08105,13000,0.0199331,32
r_n130_p0.25_nA26_nB26_i3,heur_semigreedy2s_v2_a0.35,0,130,2070,26,26,FEASIBLE,3,6.60184,13000,0.212231,424
r_n170_p0.75_nA34_nB17_i4,heur_semigreedy2s_v2_a0.35,0,170,10756,34,17,FEASIBLE,12,10.5435,17000,0.321834,507
r_n150_p0.5_nA15_nB15_i3,heur_semigreedy2s_v2_a0.35,0,150,5673,15,15,FEASIBLE,3,9.74517,15000,0.00495494,4
r_n150_p0.5_nA15_nB15_i1,heur_semigreedy2s_v2_a0.35,0,150,5542,15,15,FEASIBLE,3,9.64573,15000,0.0100773,13
r_n170_p0.75_nA17_nB17_i4,heur_semigreedy2s_v2_a0.35,0,170,10685,17,17,FEASIBLE,5,17.4738,17000,0.140319,132
r_n170_p0.75_nA17_nB34_i3,heur_semigreedy2s_v2_a0.35,0,170,10775,17,34,FEASIBLE,5,24.091,17000,0.0830554,54
r_n150_p0.5_nA30_nB30_i4,heur_semigreedy2s_v2_a0.35,0,150,5637,30,30,FEASIBLE,6,16.4221,15000,0.0736138,59
r_n170_p0.75_nA34_nB17_i2,heur_semigreedy2s_v2_a0.35,0,170,10813,34,17,FEASIBLE,12,11.8299,17000,0.0226405,24
r_n130_p0.25_nA26_nB13_i3,heur_semigreedy2s_v2_a0.35,0,130,2074,26,13,FEASIBLE,3,5.19761,13000,0.0740588,171
r_n150_p0.5_nA30_nB15_i3,heur_semigreedy2s_v2_a0.35,0,150,5675,30,15,FEASIBLE,6,12.8126,15000,11.7151,13730
r_n150_p0.5_nA30_nB30_i3,heur_semigreedy2s_v2_a0.35,0,150,5675,30,30,FEASIBLE,6,16.0859,15000,0.00238185,0
r_n170_p0.75_nA17_nB34_i2,heur_semigreedy2s_v2_a0.35,0,170,10800,17,34,FEASIBLE,5,22.7871,17000,0.00205734,0
r_n130_p0.25_nA26_nB26_i4,heur_semigreedy2s_v2_a0.35,0,130,2121,26,26,FEASIBLE,3,6.28654,13000,0.0496901,89
r_n150_p0.5_nA15_nB30_i3,heur_semigreedy2s_v2_a0.35,0,150,5618,15,30,FEASIBLE,3,12.9955,15000,0.00469865,3
r_n130_p0.25_nA26_nB13_i0,heur_semigreedy2s_v2_a0.35,0,130,2038,26,13,FEASIBLE,3,5.13847,13000,0.350094,899
r_n150_p0.5_nA30_nB30_i1,heur_semigreedy2s_v2_a0.35,0,150,5562,30,30,FEASIBLE,6,16.999,15000,0.0434659,32
r_n130_p0.25_nA26_nB13_i4,heur_semigreedy2s_v2_a0.35,0,130,2115,26,13,FEASIBLE,3,5.33794,13000,1.83022,4543
r_n130_p0.25_nA26_nB26_i2,heur_semigreedy2s_v2_a0.35,0,130,2100,26,26,FEASIBLE,3,6.40426,13000,0.00769953,10
r_n170_p0.75_nA34_nB17_i1,heur_semigreedy2s_v2_a0.35,0,170,10786,34,17,FEASIBLE,12,10.8561,17000,1.70811,2661
r_n150_p0.5_nA30_nB30_i0,heur_semigreedy2s_v2_a0.35,0,150,5548,30,30,FEASIBLE,6,17.2864,15000,0.0855737,69
